""	"Theta"	"DeltaD"	"DeltaS"	"Lambda"	"Rho"	"LogLik"	Sample
"10%"	0.0355213108169895	1.23551508629437e-06	0.0409883335617061	0.0518689562524665	0.379492170997444	129898.111659337	183195326
"12.5%"	0.0355224830449319	1.53804257141197e-06	0.040993590132257	0.051887527168958	0.379509205725393	129898.445245206	183195326
"15%"	0.0355231986007698	1.88103786531895e-06	0.0409981324299048	0.0519042457207927	0.379520969728704	129898.726538171	183195326
"17.5%"	0.0355240127089086	2.30734217939603e-06	0.041001769718317	0.0519184225395649	0.379534357536048	129898.947112842	183195326
"20%"	0.0355247955699112	2.77901791713823e-06	0.0410057471791935	0.051930755181432	0.379545692367294	129899.159239232	183195326
"22.5%"	0.035525630262974	3.09787730699216e-06	0.0410092806353106	0.051940916326383	0.379557222981606	129899.344171011	183195326
"25%"	0.0355262151299382	3.5605621168694e-06	0.0410123853846315	0.0519517787462888	0.379566828074344	129899.518875731	183195326
"27.5%"	0.0355268820401325	4.14584975502487e-06	0.041015583334244	0.0519631986140709	0.379577667384279	129899.685938092	183195326
"30%"	0.035527506770368	4.64493503168572e-06	0.0410188720428442	0.0519741772380507	0.379587660444597	129899.84073043	183195326
"32.5%"	0.0355281770600292	5.06400286836823e-06	0.0410214653751726	0.051984970969709	0.379597059521343	129899.981625647	183195326
"35%"	0.035528779400394	5.59822998212183e-06	0.0410239911866078	0.0519935077867435	0.379605412579585	129900.109407241	183195326
"37.5%"	0.03552936745552	6.03264155094073e-06	0.0410266719804872	0.0520021104868345	0.37961409563212	129900.243505569	183195326
"40%"	0.0355299331813136	6.60876559079485e-06	0.0410292572136391	0.0520117829037327	0.379622303335367	129900.36853228	183195326
"42.5%"	0.0355305715003694	7.19621080633482e-06	0.0410317903513706	0.0520211216110185	0.379631415564207	129900.484192567	183195326
"45%"	0.035531099773736	7.69740317180012e-06	0.0410342656311123	0.0520296282778368	0.379638991322354	129900.609671578	183195326
"47.5%"	0.0355316714484838	8.2278907756365e-06	0.0410368524104092	0.0520377638956935	0.379645207832503	129900.718191334	183195326
"50%"	0.0355323669118973	8.93634157622218e-06	0.0410391694347709	0.0520474562559305	0.379653199039638	129900.825769644	183195326
"52.5%"	0.0355329271732008	9.54519542738752e-06	0.0410419051905353	0.0520565472790548	0.379662417909374	129900.921074613	183195326
"55%"	0.0355334776579687	1.041662614239e-05	0.0410449258798054	0.0520661808414053	0.379669995982318	129901.0225441	183195326
"57.5%"	0.0355340767201912	1.10489610646947e-05	0.0410470702635984	0.052074944792129	0.379676980243608	129901.126511203	183195326
"60%"	0.0355345756329422	1.17471488176742e-05	0.0410493999129694	0.0520829492353314	0.379685079229363	129901.224041022	183195326
"62.5%"	0.0355350959444826	1.25733861803148e-05	0.0410520128682341	0.0520923130288661	0.37969317749081	129901.318056208	183195326
"65%"	0.0355357302259859	1.34819907841932e-05	0.0410542833754863	0.0521010902424667	0.379702889160459	129901.416267463	183195326
"67.5%"	0.0355363747596755	1.43083894745403e-05	0.0410572776337882	0.052110120809184	0.379711038717521	129901.508806764	183195326
"70%"	0.035536877051174	1.52670425600174e-05	0.0410603503544613	0.0521192991485204	0.379721692320306	129901.596738344	183195326
"72.5%"	0.0355376237326669	1.64470621834574e-05	0.0410637043628911	0.052131092281964	0.379731965636766	129901.690663785	183195326
"75%"	0.0355382853840352	1.75976721534339e-05	0.0410665350628491	0.0521411743622907	0.379741973778209	129901.789857337	183195326
"77.5%"	0.0355391644956455	1.92413531697521e-05	0.0410699654136111	0.0521514709128212	0.379752977723778	129901.884436526	183195326
"80%"	0.0355398673257087	2.08306413749411e-05	0.0410730130587539	0.0521640427254257	0.37976542627593	129901.980212879	183195326
"82.5%"	0.0355407390132197	2.26122591269826e-05	0.0410766387475192	0.0521763348599691	0.379776776173845	129902.076044553	183195326
"85%"	0.0355415740045292	2.4546905056652e-05	0.041080926936904	0.052193668371215	0.379788367026429	129902.178488851	183195326
"87.5%"	0.0355425905343899	2.67619602818134e-05	0.0410847217344359	0.0522099321519605	0.379803869189073	129902.299051067	183195326
"90%"	0.0355437483867295	2.95512671324044e-05	0.0410898447434139	0.0522303266203787	0.379818680471159	129902.414242711	183195326
"92.5%"	0.0355451733922546	3.33059886075748e-05	0.0410960292275463	0.0522529337617899	0.379837020647811	129902.541180123	183195326
"95%"	0.03554710038887	3.94468361903245e-05	0.0411045078816397	0.0522841102584509	0.379862491357932	129902.689297372	183195326
"97.5%"	0.0355501402648553	4.91089552576902e-05	0.0411182706455697	0.0523309237097858	0.379900754370147	129902.905974935	183195326
"100%"	0.0355685088042266	0.000108667873035942	0.041179452271212	0.0526216362741298	0.380195915034144	129903.434680444	183195326
"Mean"	0.0354913859589418	0.00400202618266188	0.0364780891455151	0.0614911306735367	0.362181289333891	624768.961548426	183195312
"Std."	8.2404983985571e-06	0.000218688237001662	0.000193895649279662	0.00119270601266297	0.000115270393889442	1.47860498441873	183195312
"Acceptance ratio"	0.17724	0.19502	0.17064	0.1141	0.19112	0.6033	183195312
"0%"	0.0354600338574991	0.0033711827735791	0.0360017079991604	0.0581561943092635	0.361745040554718	624758.747615181	183195312
"2.5%"	0.035475373806542	0.00355646471970424	0.036132400119359	0.0591132894022408	0.361962004616388	624765.295278116	183195312
"5%"	0.0354778698185966	0.0036288578466469	0.0361670753648485	0.0595444118079745	0.361992862337597	624766.188936049	183195312
"7.5%"	0.0354794655000618	0.00366685466629665	0.0361894635540497	0.0597556517801305	0.362015224466118	624766.668776061	183195312
"10%"	0.0354807196301365	0.00372283270677125	0.0362123410843494	0.0599826936949439	0.362033365194416	624767.013997176	183195312
"12.5%"	0.0354817808643675	0.00375551885771448	0.0362373085996705	0.0601336261981473	0.362048751829535	624767.296305508	183195312
"15%"	0.0354827063411618	0.00377620594638321	0.036261437403251	0.0602431585036936	0.362060881963265	624767.520443434	183195312
"17.5%"	0.0354835850784768	0.00379505206455822	0.0362785269593	0.0603434211232361	0.362073581316971	624767.71496897	183195312
"20%"	0.0354843495632303	0.00381241012651925	0.0362972977252784	0.0604533039478547	0.362083943680204	624767.887483762	183195312
"22.5%"	0.0354851083697229	0.00383071323437589	0.0363164975653137	0.0605642894753065	0.362093926528327	624768.036125705	183195312
"25%"	0.0354857500757542	0.00384794254656132	0.0363341472976347	0.0606629579523553	0.362102959226404	624768.186284332	183195312
"27.5%"	0.0354864857419754	0.00386525277695522	0.0363525427889188	0.0607564370506215	0.362110662930024	624768.324762694	183195312
"30%"	0.0354870330449588	0.00387982586635755	0.0363675298927774	0.0608367176137683	0.362118250759785	624768.449235475	183195312
"32.5%"	0.0354875736261035	0.00389306815900587	0.0363837416914573	0.0609047390035635	0.362127743989631	624768.557636419	183195312
"35%"	0.0354882041146754	0.00391001638963276	0.0363986401831155	0.0609676354251976	0.362136625222052	624768.669019257	183195312
"37.5%"	0.0354887818943707	0.00392503113858743	0.0364115195667007	0.0610404587392886	0.362143599843861	624768.77490504	183195312
"40%"	0.0354893281909669	0.00394465305150231	0.0364263459331585	0.0611468941460887	0.362150818982024	624768.879422298	183195312
"42.5%"	0.0354899183566924	0.003961398644141	0.0364377125870276	0.0612481628724856	0.362157940243751	624768.96499108	183195312
"45%"	0.0354903940046249	0.00397742080087567	0.0364515228040669	0.0613393876495635	0.362165783532034	624769.06585814	183195312
"47.5%"	0.0354908342086745	0.00399045334530648	0.036462427070398	0.0613999704661324	0.362173160548813	624769.153809909	183195312
"50%"	0.0354914031311132	0.00400335393851432	0.0364763076311215	0.061467370888965	0.362180081695278	624769.242666366	183195312
"52.5%"	0.0354919351816018	0.00401559406971914	0.0364889068875314	0.0615461868593393	0.362187512553545	624769.327532832	183195312
"55%"	0.0354923692723398	0.00402804764919488	0.0365009215915048	0.0616291740726836	0.362194864413501	624769.409863383	183195312
"57.5%"	0.0354928943020665	0.00404302192257739	0.0365128026504147	0.0616957343256863	0.362201652549898	624769.481810688	183195312
"60%"	0.0354934494160871	0.00405985972896718	0.0365275569182561	0.0617788989748632	0.362209687793157	624769.563092905	183195312
"62.5%"	0.0354940505023977	0.00408028548747968	0.0365435790262995	0.0618667292870712	0.36221678232828	624769.639089949	183195312
"65%"	0.0354946264631232	0.00409539647264711	0.0365579134876977	0.0619551078675945	0.362224108448572	624769.72348809	183195312
"67.5%"	0.0354952721013885	0.00410918754192509	0.0365728745751932	0.0620333814472222	0.362232305380979	624769.80287082	183195312
"70%"	0.0354958640702876	0.00412482316943618	0.0365887370749236	0.0621372289320049	0.362241116679155	624769.887666534	183195312
"72.5%"	0.0354964373361612	0.00414315147150669	0.036604234707509	0.0622447630011913	0.362249846826955	624769.967709529	183195312
"75%"	0.0354971117258128	0.00415930644964986	0.0366179611093987	0.0623374986041166	0.36225927818262	624770.046949319	183195312
"77.5%"	0.0354977844933749	0.00417938939678008	0.0366308210656156	0.0624405344400386	0.362270266380778	624770.126753934	183195312
"80%"	0.0354983956594801	0.00420106846750791	0.0366436919257013	0.0625671460287463	0.362280828716557	624770.214903556	183195312
"82.5%"	0.0354991474220519	0.00422615429516772	0.036659000094999	0.062707069411463	0.36229101753428	624770.300209621	183195312
"85%"	0.0355000060045876	0.0042492686643661	0.0366784125783036	0.0628559077747555	0.362303756588072	624770.389836794	183195312
"87.5%"	0.0355009489045573	0.00427895418504486	0.0366996282734008	0.0630191639717175	0.362316874906863	624770.485436085	183195312
"90%"	0.0355019672563865	0.004306498549263	0.036734710396211	0.0631656358053259	0.362331360870593	624770.581922596	183195312
"92.5%"	0.0355033021937498	0.00433275620405464	0.0367719872315495	0.0633009718890089	0.362348569774005	624770.682151867	183195312
"95%"	0.0355049330876604	0.00435864894965829	0.0368121672000257	0.0634634692552828	0.362372202067402	624770.791677261	183195312
"97.5%"	0.0355071398559742	0.00439123527065627	0.0368692014184207	0.0636921195135458	0.36240940903486	624770.958403787	183195312
"100%"	0.0355208926195591	0.00448845218784769	0.0370544885232618	0.0643375456064138	0.362669299282599	624771.319567139	183195312
