""	"Theta"	"DeltaD"	"DeltaS"	"Lambda"	"Rho"	"LogLik"	Sample
"35%"	0.0357088482075668	0.000159893254968582	0.0405305458222173	0.049688789403533	0.373174410762064	272513.435772854	183195332
"37.5%"	0.0357095110414892	0.000176717585700999	0.0405467606895602	0.0497391690137832	0.37318314196	272513.56166835	183195332
"40%"	0.0357101268922633	0.000198289560968926	0.0405603885204718	0.0497892852091196	0.373191949264416	272513.686520487	183195332
"42.5%"	0.0357106363378482	0.000218356835795891	0.0405736958157475	0.049842560147911	0.37320142840331	272513.814549009	183195332
"45%"	0.0357111787113425	0.000235623759221154	0.0405860609060397	0.0499033819839939	0.373209054598165	272513.92570973	183195332
"47.5%"	0.0357118013277867	0.000253204477590786	0.040601775546945	0.0499515386828284	0.373220485673305	272514.041901487	183195332
"50%"	0.0357124047045736	0.000266847270864647	0.0406137634493608	0.0500037712055016	0.373229112602884	272514.156289076	183195332
"52.5%"	0.0357129988317406	0.00028075330436962	0.040628506366432	0.0500569174809048	0.373237040237277	272514.270195008	183195332
"55%"	0.0357135434853603	0.000295466716518238	0.0406397784366999	0.0501014615894989	0.373243893038472	272514.370361635	183195332
"57.5%"	0.0357140733161856	0.000309294715716013	0.0406545949842642	0.0501462384531261	0.37325141970379	272514.478012186	183195332
"60%"	0.0357147007779622	0.000322804802804888	0.0406728741518874	0.0501948778224745	0.373259141639582	272514.573403083	183195332
"62.5%"	0.0357153477612497	0.000334281007575126	0.0406886208133253	0.0502473351346884	0.373266909840222	272514.669220936	183195332
"65%"	0.0357159817522589	0.000351039544591119	0.0407048753902888	0.0502994955254723	0.373275377541322	272514.784119785	183195332
"67.5%"	0.0357166273342376	0.000368743436669449	0.0407178573778296	0.0503575440675443	0.373284196463073	272514.885686525	183195332
"70%"	0.0357172032533063	0.000387191262666521	0.0407312140221362	0.0504235576929055	0.373293798451619	272514.988637292	183195332
"72.5%"	0.035717916480276	0.000405253616397503	0.0407436859550316	0.0504859550290263	0.373301711300357	272515.097277653	183195332
"75%"	0.0357187426546704	0.000423641323251191	0.0407560988450498	0.0505587504708903	0.373312556346147	272515.191980103	183195332
"77.5%"	0.0357194605229024	0.000447547461845314	0.0407656922466281	0.0506288920618938	0.373321586975021	272515.307202809	183195332
"80%"	0.0357204763484087	0.000463784002958271	0.0407761247909615	0.0507060694265356	0.373333916708597	272515.424451989	183195332
