""	"Theta"	"DeltaD"	"DeltaS"	"Lambda"	"Rho"	"LogLik"	Sample
"75%"	0.0369918824269048	0.043687403596843	5.57742529794724e-07	0.0932061798908483	0.401917668288869	-106062.47151093	383194
"77.5%"	0.0369925573518966	0.0436903151883603	5.81993095855846e-07	0.0932306431768914	0.401929234525892	-106062.377915208	383194
"80%"	0.0369935200304257	0.0436936457725402	6.29714270864114e-07	0.0932585604597631	0.401942014153792	-106062.28644811	383194
"82.5%"	0.0369945028953787	0.0436973552047416	6.88569991314994e-07	0.0932893599594783	0.401954512598296	-106062.193184513	383194
"85%"	0.0369955339234536	0.0437012705331881	7.55714719371696e-07	0.0933198461260248	0.40196940214539	-106062.085832189	383194
"87.5%"	0.0369966295341769	0.0437059263657397	8.34668440482088e-07	0.0933552038279287	0.401983664941277	-106061.974467758	383194
"90%"	0.0369979207813463	0.0437098147707887	9.04476864406639e-07	0.0934049539534412	0.401999581114398	-106061.858245748	383194
"92.5%"	0.0369996029005488	0.0437159516529795	1.01429297402031e-06	0.0934501379832177	0.402021831554902	-106061.71527714	383194
"95%"	0.0370018038457694	0.0437232628747437	1.16892699672148e-06	0.0935174071954643	0.402055607365362	-106061.561277229	383194
"97.5%"	0.0370043004215032	0.0437325520842747	1.42579789099071e-06	0.0936161204298374	0.402111837566291	-106061.375305411	383194
"100%"	0.0370321408136547	0.0438297225310875	3.74271047074913e-06	0.0943322604021594	0.402357073603425	-106060.858084042	383194
"Mean"	0.0382068744852387	0.0392550827103239	5.70912273572499e-07	0.105844099926291	0.403392608366955	-151649.180140998	383202
"Std."	1.56484808281882e-05	4.34465323672638e-05	5.72050839522018e-07	0.00047507681780097	0.000222237198356073	1.72599074903203	383202
"Acceptance ratio"	0.16694	0.19422	0.0517	0.13642	0.18644	0.55172	383202
"0%"	0.0381405924062873	0.0391082663977393	3.69518579933384e-11	0.103878680210407	0.402448585224385	-151661.790198441	383202
"2.5%"	0.0381759331958005	0.0391654919645439	1.67170274792897e-08	0.104922902085042	0.402961838722872	-151653.41670125	383202
"5%"	0.0381811283746969	0.0391815852904868	3.64969896054924e-08	0.105078647152736	0.403030189915372	-151652.510782326	383202
"7.5%"	0.0381842256564572	0.0391919052564656	4.86590945207053e-08	0.10517371743556	0.403077338902666	-151651.904784842	383202
"10%"	0.038186427687734	0.0391995911699199	5.84010908249718e-08	0.10523945966677	0.403110497047967	-151651.51336677	383202
"12.5%"	0.0381885893542454	0.0392052482487731	8.1823735002758e-08	0.105300945243988	0.403140064365383	-151651.176560811	383202
"15%"	0.0381904640833256	0.0392107389478039	1.00448276398121e-07	0.105357761464111	0.403166334587993	-151650.912436976	383202
"17.5%"	0.0381921922520763	0.0392152553835554	1.13230973101797e-07	0.105409100780781	0.403185743956981	-151650.656745283	383202
"20%"	0.0381936061555005	0.0392191968923897	1.30803558415003e-07	0.105448780454776	0.403204624712189	-151650.438692567	383202
"22.5%"	0.0381949979939136	0.0392230004159752	1.47697935425193e-07	0.105478108074538	0.403224760961389	-151650.261742585	383202
"25%"	0.0381962760268243	0.0392263225628562	1.59807345314766e-07	0.105522823425001	0.403241947116434	-151650.091233085	383202
"27.5%"	0.0381973779552577	0.0392294557829332	1.75571556467654e-07	0.105558139186179	0.403258403360268	-151649.924013895	383202
"30%"	0.0381985167889766	0.0392323616215282	1.94722709651952e-07	0.105588585523938	0.403271388676812	-151649.779891548	383202
"32.5%"	0.0381997655675976	0.0392357534676437	2.18214708326253e-07	0.105624751168983	0.403284551028025	-151649.643824046	383202
"35%"	0.0382008513936573	0.0392388172444534	2.41952003555045e-07	0.105653937214272	0.40330135814364	-151649.516053253	383202
"37.5%"	0.0382019786544969	0.0392420488842656	2.64849337943418e-07	0.105687106111082	0.403317610003089	-151649.392464211	383202
"40%"	0.0382030583811381	0.0392447687086486	2.86644562971314e-07	0.105717340367319	0.403334485902334	-151649.275330779	383202
"42.5%"	0.0382041201899869	0.0392473636389545	3.1601765757009e-07	0.105747577123942	0.403349076546091	-151649.157163844	383202
"45%"	0.0382051673219649	0.0392506602216551	3.49862561135794e-07	0.105776995128476	0.403364016051323	-151649.050698699	383202
"47.5%"	0.0382062725256864	0.039253049077166	3.80116481747375e-07	0.105806398983857	0.40337595804716	-151648.946359842	383202
"50%"	0.0382073180223043	0.0392559243913144	4.0402622994094e-07	0.105830842433522	0.403389877811969	-151648.84607259	383202
"52.5%"	0.0382082569946013	0.0392586830619243	4.34667819778958e-07	0.105863769345656	0.403405209286688	-151648.750645214	383202
"55%"	0.0382090626342403	0.0392613493120586	4.64661014577918e-07	0.105891881003093	0.403418770488054	-151648.663169438	383202
"57.5%"	0.0382101336725863	0.0392640974407773	4.88780786096019e-07	0.105923616137961	0.403432297428817	-151648.568527717	383202
"60%"	0.0382110582614813	0.0392665689865879	5.2254656585842e-07	0.105956626834171	0.403446617925842	-151648.470007365	383202
"62.5%"	0.0382121202031077	0.0392693638598432	5.58239651011056e-07	0.105986316689296	0.403462338711446	-151648.377740096	383202
"65%"	0.0382132278385508	0.0392723568541865	6.02882492529991e-07	0.106020002704118	0.403476276406126	-151648.284188292	383202
"67.5%"	0.038214146012808	0.0392753550476907	6.50565327283258e-07	0.106053638049924	0.403491616142876	-151648.184750182	383202
"70%"	0.0382152218600451	0.039278636354235	6.94400487289305e-07	0.106089697045074	0.403506823954259	-151648.086746172	383202
"72.5%"	0.0382165442123964	0.0392815440738822	7.38451186163458e-07	0.106126198878815	0.403525590314115	-151647.993835594	383202
